2.00 0.00 76 2021-03-26-12:13:58
                        END
06:69:6c:c3:d6:94 -71 w | -71-71-71-71
0a:74:9c:30:bf:3f -85 w | -85-85-85-85
0a:74:9c:23:fd:f8 -76 w | -76-76-76-76
0a:74:9c:25:03:be -83 w | -83-83-83-83
0a:69:6c:eb:03:6d -57 w | -57-57-57-57
0a:69:6c:bc:f6:e1 -64 w | -64-64-64-64
06:69:6c:eb:05:1e -70 w | -70-70-70-70
0a:74:9c:25:01:7f -80 w | -80-80-80-80
0a:69:6c:c3:d6:94 -71 w | -71-71-71-71
06:69:6c:ea:f9:4d -69 w | -69-69-69-69
0a:69:6c:eb:05:1d -81 w | -81-81-81-81
06:74:9c:24:f6:0f -84 w | -84-84-84-84
06:69:6c:eb:0b:2f -77 w | -77-77-77-77
1a:74:9c:23:fd:b0 -31 w | -31-31-31-31
06:74:9c:25:01:7f -80 w | -80-80-80-80
1a:74:9c:23:fd:b1 -38 w | -38-38-38-38
06:69:6c:be:95:72 -83 w | -83-83-83-83
0a:69:6c:eb:0b:2f -77 w | -77-77-77-77
0a:69:6c:be:95:72 -81 w | -81-81-81-81
1a:69:6c:eb:03:6d -58 w | -58-58-58-58
0.00  2.00 83 2021-03-27-17:56:38
d1:45:b5:b8:74:ba -82 b | -82-79-79-77-76-76-72-72-72-72
12:3b:6a:1a:93:a7 -95 b | -95-92-93-93-92-96
12:3b:6a:1a:92:c0 -84 b | -84-84-87-87-86
c7:b3:82:c6:c6:05 -93 b | -93-91-89-94-75-74-75-75
c0:16:7b:b9:9d:2e -76 b | -76-77-78-80-80-82-80-79-79-79-80
1a:69:6c:bc:f9:76 -70 w | -70-70-70
06:69:6c:eb:03:6d -56 w | -56-56-56
06:69:6c:c3:d6:95 -81 w | -81-81-81
1a:74:9c:23:fb:76 -85 w | -85-85-85
06:74:9c:23:fd:f8 -75 w | -75-75-75
06:69:6c:c3:d6:94 -71 w | -71-71-71
0a:74:9c:30:bf:3f -85 w | -85-85-85
0a:74:9c:23:fd:f8 -76 w | -76-76-76
0a:74:9c:25:03:be -83 w | -83-83-83
0a:69:6c:eb:03:6d -57 w | -57-57-57
0a:69:6c:bc:f6:e1 -64 w | -64-64-64
06:69:6c:eb:05:1e -70 w | -70-70-70
0a:74:9c:25:01:7f -80 w | -80-80-80
0a:69:6c:c3:d6:94 -71 w | -71-71-71
06:69:6c:ea:f9:4d -69 w | -69-69-69
0a:69:6c:eb:05:1d -81 w | -81-81-81
06:74:9c:24:f6:0f -84 w | -84-84-84
06:69:6c:eb:0b:2f -77 w | -77-77-77
1a:74:9c:23:fd:b0 -31 w | -31-31-31
06:74:9c:25:01:7f -80 w | -80-80-80
1a:74:9c:23:fd:b1 -38 w | -38-38-38
06:69:6c:be:95:72 -83 w | -83-83-83
0a:69:6c:eb:0b:2f -77 w | -77-77-77
0a:69:6c:be:95:72 -81 w | -81-81-81
1a:69:6c:eb:03:6d -58 w | -58-58-58
1.00  2.00 83 2021-03-27-17:57:25
d1:45:b5:b8:74:ba -72 b | -72-71-71-71-71-71-71-82-81-83-83
12:3b:6a:1a:93:a7 -93 b | -93-95-94-94
c7:b3:82:c6:c6:05 -82 b | -82-82-83-82-82-82-82-82-81-75-76-76-76-76
12:3b:6a:1a:92:c0 -88 b | -88-88-88-87-85-86
c0:16:7b:b9:9d:2e -71 b | -71-72-72-72-73-73-73-74-74-76-76-76-76-76
1a:69:6c:bc:f9:76 -70 w | -70-70-70
06:69:6c:eb:03:6d -56 w | -56-56-56
06:69:6c:c3:d6:95 -81 w | -81-81-81
1a:74:9c:23:fb:76 -85 w | -85-85-85
06:74:9c:23:fd:f8 -75 w | -75-75-75
06:69:6c:c3:d6:94 -71 w | -71-71-71
0a:74:9c:30:bf:3f -85 w | -85-85-85
0a:74:9c:23:fd:f8 -76 w | -76-76-76
0a:74:9c:25:03:be -83 w | -83-83-83
0a:69:6c:eb:03:6d -57 w | -57-57-57
0a:69:6c:bc:f6:e1 -64 w | -64-64-64
06:69:6c:eb:05:1e -70 w | -70-70-70
0a:74:9c:25:01:7f -80 w | -80-80-80
0a:69:6c:c3:d6:94 -71 w | -71-71-71
06:69:6c:ea:f9:4d -69 w | -69-69-69
0a:69:6c:eb:05:1d -81 w | -81-81-81
06:74:9c:24:f6:0f -84 w | -84-84-84
06:69:6c:eb:0b:2f -77 w | -77-77-77
1a:74:9c:23:fd:b0 -31 w | -31-31-31
06:74:9c:25:01:7f -80 w | -80-80-80
1a:74:9c:23:fd:b1 -38 w | -38-38-38
06:69:6c:be:95:72 -83 w | -83-83-83
0a:69:6c:eb:0b:2f -77 w | -77-77-77
0a:69:6c:be:95:72 -81 w | -81-81-81
1a:69:6c:eb:03:6d -58 w | -58-58-58
2.00  2.00 94 2021-03-27-17:57:51
d1:45:b5:b8:74:ba -84 b | -84-84-83-80-80-80-81-87-86-87-89
12:3b:6a:1a:93:a7 -97 b | -97-98
12:3b:6a:1a:92:c0 -95 b | -95-94-98-98-96-97
c7:b3:82:c6:c6:05 -82 b | -82-83-85-84-82-80-80-77-77-77-77
c0:16:7b:b9:9d:2e -92 b | -92-91-93-97-81-80-81-81-80
0e:96:e6:77:d9:a4 -74 w | -74-74
1a:69:6c:bc:f9:76 -75 w | -75
06:69:6c:eb:03:6d -60 w | -60-60-60
0a:74:9c:23:fd:ec -70 w | -70
06:69:6c:ea:fa:19 -85 w | -85
0a:69:6c:eb:03:6d -60 w | -60
0a:69:6c:ea:fe:64 -83 w | -83
06:69:6c:ea:fe:63 -63 w | -63
1a:69:6c:eb:0b:2f -77 w | -77
06:69:6c:eb:05:1e -78 w | -78
0a:74:9c:25:01:7f -80 w | -80
0a:74:9c:23:fb:34 -83 w | -83-83-86
